______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'launcher', 'pid': 13757, 'username': 'shubhamwalhekar'} 
{'name': 'ControlCenterHelper', 'pid': 16795, 'username': 'shubhamwalhekar'} 
{'name': 'cfprefsd', 'pid': 18077, 'username': 'shubhamwalhekar'} 
{'name': 'accountsd', 'pid': 18087, 'username': 'shubhamwalhekar'} 
{'name': 'gamepolicyd', 'pid': 18107, 'username': 'root'} 
{'name': 'coreauthd', 'pid': 18530, 'username': 'shubhamwalhekar'} 
{'name': 'softwareupdated', 'pid': 19806, 'username': '_softwareupdate'} 
{'name': 'suhelperd', 'pid': 19838, 'username': 'root'} 
{'name': 'launcher', 'pid': 24015, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 28467, 'username': 'shubhamwalhekar'} 
{'name': 'trustd', 'pid': 30751, 'username': '_trustd'} 
{'name': 'trustd', 'pid': 30753, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 31735, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 33079, 'username': 'shubhamwalhekar'} 
{'name': 'ScreenTimeAgent', 'pid': 34020, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 35030, 'username': 'shubhamwalhekar'} 
{'name': 'DiskUnmountWatcher', 'pid': 35199, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 39100, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 44248, 'username': 'shubhamwalhekar'} 
{'name': 'PerfPowerService', 'pid': 46373, 'username': 'root'} 
{'name': 'launcher', 'pid': 50727, 'username': 'shubhamwalhekar'} 
{'name': 'WirelessRadioMan', 'pid': 51121, 'username': 'root'} 
{'name': 'netbiosd', 'pid': 51891, 'username': '_netbios'} 
{'name': 'universalAccessAuthWarn', 'pid': 52060, 'username': 'shubhamwalhekar'} 
{'name': 'secd', 'pid': 54086, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 54554, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 55061, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Renderer)', 'pid': 58491, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 58492, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper', 'pid': 58493, 'username': 'shubhamwalhekar'} 
{'name': 'zsh', 'pid': 58496, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 58512, 'username': 'shubhamwalhekar'} 
{'name': 'TabNine', 'pid': 58549, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 58558, 'username': 'shubhamwalhekar'} 
{'name': 'TabNine', 'pid': 58565, 'username': 'shubhamwalhekar'} 
{'name': 'tccd', 'pid': 58609, 'username': 'root'} 
{'name': 'BiomeAgent', 'pid': 60815, 'username': 'shubhamwalhekar'} 
{'name': 'launcher', 'pid': 61280, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62116, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62118, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62119, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 62125, 'username': 'shubhamwalhekar'} 
