______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:45:18 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'pid': 58492, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 58493, 'name': 'Code Helper', 'username': 'shubhamwalhekar'} 
{'pid': 58496, 'name': 'zsh', 'username': 'shubhamwalhekar'} 
{'pid': 58512, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 58549, 'name': 'TabNine', 'username': 'shubhamwalhekar'} 
{'pid': 58558, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 58565, 'name': 'TabNine', 'username': 'shubhamwalhekar'} 
{'pid': 58609, 'name': 'tccd', 'username': 'root'} 
{'pid': 60815, 'name': 'BiomeAgent', 'username': 'shubhamwalhekar'} 
{'pid': 61280, 'name': 'launcher', 'username': 'shubhamwalhekar'} 
{'pid': 62116, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62118, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62119, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62125, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62127, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62128, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62132, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62275, 'name': 'UIKitSystem', 'username': 'shubhamwalhekar'} 
{'pid': 62277, 'name': 'audiomxd', 'username': '_audiomxd'} 
{'pid': 62305, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62361, 'name': 'audioanalyticsd', 'username': 'root'} 
{'pid': 62717, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 62719, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63074, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63077, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63078, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63079, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63080, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63081, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63082, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63083, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63084, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63085, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63086, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63087, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63088, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63097, 'name': 'Google Chrome Helper', 'username': 'shubhamwalhekar'} 
{'pid': 63156, 'name': 'Code Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 63157, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 63158, 'name': 'Code Helper', 'username': 'shubhamwalhekar'} 
{'pid': 63159, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 63160, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 63161, 'name': 'zsh', 'username': 'shubhamwalhekar'} 
{'pid': 63164, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 63168, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 63226, 'name': 'TabNine', 'username': 'shubhamwalhekar'} 
{'pid': 63246, 'name': 'Code Helper (Plugin)', 'username': 'shubhamwalhekar'} 
{'pid': 63272, 'name': 'TabNine', 'username': 'shubhamwalhekar'} 
{'pid': 63651, 'name': 'WD-TabNine', 'username': 'shubhamwalhekar'} 
{'pid': 64159, 'name': 'ViewBridgeAuxiliary', 'username': 'shubhamwalhekar'} 
{'pid': 64161, 'name': 'ContextStoreAgent', 'username': 'shubhamwalhekar'} 
{'pid': 64167, 'name': 'contentlinkingd', 'username': 'shubhamwalhekar'} 
{'pid': 64168, 'name': 'CursorUIViewService', 'username': 'shubhamwalhekar'} 
{'pid': 64171, 'name': 'com.apple.hiservices-xpcservice', 'username': 'shubhamwalhekar'} 
{'pid': 64320, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 64324, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 64325, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 64331, 'name': 'cloudd', 'username': 'shubhamwalhekar'} 
{'pid': 64337, 'name': 'biomed', 'username': '_biome'} 
{'pid': 64339, 'name': 'usermanagerd', 'username': 'root'} 
{'pid': 64340, 'name': 'pkd', 'username': 'shubhamwalhekar'} 
{'pid': 64341, 'name': 'proactived', 'username': 'shubhamwalhekar'} 
{'pid': 64348, 'name': 'mobileassetd', 'username': 'root'} 
{'pid': 64360, 'name': 'com.apple.appkit.xpc.openAndSavePanelService', 'username': 'shubhamwalhekar'} 
{'pid': 64364, 'name': 'QuickLookUIService', 'username': 'shubhamwalhekar'} 
{'pid': 64375, 'name': 'syncdefaultsd', 'username': 'shubhamwalhekar'} 
{'pid': 64377, 'name': 'backupd', 'username': 'root'} 
{'pid': 64390, 'name': 'suggestd', 'username': 'shubhamwalhekar'} 
{'pid': 64418, 'name': 'chronod', 'username': 'shubhamwalhekar'} 
{'pid': 64456, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 64470, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 64514, 'name': 'com.apple.AuthenticationServices.Helper', 'username': 'shubhamwalhekar'} 
{'pid': 64533, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 64785, 'name': 'routined', 'username': 'shubhamwalhekar'} 
{'pid': 64818, 'name': 'Google Chrome Helper (Renderer)', 'username': 'shubhamwalhekar'} 
{'pid': 64819, 'name': 'Google Chrome Helper', 'username': 'shubhamwalhekar'} 
{'pid': 64901, 'name': 'CommCenter', 'username': 'shubhamwalhekar'} 
{'pid': 64922, 'name': 'ospredictiond', 'username': 'root'} 
{'pid': 64923, 'name': 'triald', 'username': 'shubhamwalhekar'} 
{'pid': 64924, 'name': 'osanalyticshelpe', 'username': 'root'} 
{'pid': 64925, 'name': 'replayd', 'username': 'shubhamwalhekar'} 
{'pid': 64930, 'name': 'wifip2pd', 'username': 'root'} 
{'pid': 64934, 'name': 'Keychain Circle Notification', 'username': 'shubhamwalhekar'} 
{'pid': 64935, 'name': 'com.apple.CodeSi', 'username': 'root'} 
{'pid': 64936, 'name': 'idleassetsd', 'username': 'root'} 
{'pid': 64939, 'name': 'online-auth-agen', 'username': 'root'} 
{'pid': 64940, 'name': 'intelligentroutingd', 'username': 'shubhamwalhekar'} 
{'pid': 64941, 'name': 'containermanagerd', 'username': 'shubhamwalhekar'} 
{'pid': 64942, 'name': 'bluetoothuserd', 'username': 'shubhamwalhekar'} 
{'pid': 64943, 'name': 'audioaccessoryd', 'username': 'shubhamwalhekar'} 
{'pid': 64944, 'name': 'callservicesd', 'username': 'shubhamwalhekar'} 
{'pid': 64945, 'name': 'tccd', 'username': 'shubhamwalhekar'} 
{'pid': 64946, 'name': 'com.apple.FaceTime.FTConversationService', 'username': 'shubhamwalhekar'} 
{'pid': 64947, 'name': 'sandboxd', 'username': 'root'} 
{'pid': 64948, 'name': 'contactsd', 'username': 'shubhamwalhekar'} 
{'pid': 64949, 'name': 'dmd', 'username': 'shubhamwalhekar'} 
{'pid': 64950, 'name': 'ManagedSettingsAgent', 'username': 'shubhamwalhekar'} 
{'pid': 64951, 'name': 'fileproviderd', 'username': 'shubhamwalhekar'} 
{'pid': 64957, 'name': 'com.apple.quicklook.ThumbnailsAgent', 'username': 'shubhamwalhekar'} 
{'pid': 64958, 'name': 'ThumbnailExtension_macOS', 'username': 'shubhamwalhekar'} 
{'pid': 64959, 'name': 'secinitd', 'username': 'shubhamwalhekar'} 
{'pid': 64960, 'name': 'extensionkitservice', 'username': 'shubhamwalhekar'} 
{'pid': 64961, 'name': 'ScreenTimeWidgetExtension', 'username': 'shubhamwalhekar'} 
{'pid': 64962, 'name': 'NewsToday2', 'username': 'shubhamwalhekar'} 
{'pid': 64963, 'name': 'knowledge-agent', 'username': 'shubhamwalhekar'} 
{'pid': 64964, 'name': 'com.apple.geod', 'username': 'shubhamwalhekar'} 
{'pid': 64965, 'name': 'com.apple.geod', 'username': '_cmiodalassistants'} 
{'pid': 64966, 'name': 'com.apple.geod', 'username': '_locationd'} 
{'pid': 64967, 'name': 'com.apple.geod', 'username': 'root'} 
{'pid': 64968, 'name': 'secinitd', 'username': '_locationd'} 
{'pid': 64969, 'name': 'secinitd', 'username': '_cmiodalassistants'} 
